time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+61	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	-0.963023	-0.621681	-15.6716	7.14125e-15	-1.32392e-16	radar	3.24119	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16259	0.439132	11.3677	-0.850757	-0.0767094	lidar	3.3593	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24461	0.524329	4.79387	-0.330057	0.0410781	radar	2.41179	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.60551	0.545446	5.95412	-0.184312	0.075531	lidar	1.00754	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84495	0.550403	5.64549	-0.100326	0.195933	radar	0.925304	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15074	0.557113	5.60475	-0.0519372	0.279586	lidar	0.62556	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36373	0.626964	5.25593	0.0855459	0.7284	radar	3.42631	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.63099	0.656281	5.26294	0.122939	0.724099	lidar	0.0409403	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89725	0.660996	5.29217	0.11309	0.557096	radar	0.133546	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.1262	0.680313	5.26177	0.135075	0.5516	lidar	0.842696	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.42133	0.578401	5.30994	-0.0225833	-0.0149589	radar	2.83512	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73156	0.479334	5.36907	-0.142938	-0.353653	lidar	3.44626	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
